index,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category,Purchase,index,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
0,1000001,P00069042,F,9,10,A,2,0,3,8370,0.0,1.0,05-02-2010,1643691.0,0.0,42.0,3.0,211.0,8.0
1,1000001,P00248942,F,9,10,A,2,0,1,15200,1.0,1.0,12-02-2010,1641957.0,1.0,39.0,3.0,211.0,8.0
2,1000001,P00087842,F,9,10,A,2,0,12,1422,2.0,1.0,19-02-2010,1611968.0,0.0,40.0,3.0,211.0,8.0
3,1000001,P00085442,F,9,10,A,2,0,12,1057,3.0,1.0,26-02-2010,1409728.0,0.0,47.0,3.0,211.0,8.0
4,1000002,P00285442,M,55,16,C,4,0,8,7969,4.0,1.0,05-03-2010,1554807.0,0.0,46.0,3.0,211.0,8.0
5,1000003,P00193542,M,30,15,A,3,0,1,15227,5.0,1.0,12-03-2010,1439542.0,0.0,58.0,3.0,211.0,8.0
6,1000004,P00184942,M,48,7,B,2,1,1,19215,6.0,1.0,19-03-2010,1472516.0,0.0,55.0,3.0,211.0,8.0
7,1000004,P00346142,M,48,7,B,2,1,1,15854,7.0,1.0,26-03-2010,1404430.0,0.0,51.0,3.0,211.0,8.0
8,1000004,P0097242,M,48,7,B,2,1,1,15686,8.0,1.0,02-04-2010,1594968.0,0.0,62.0,3.0,211.0,8.0
9,1000005,P00274942,M,30,20,A,1,1,8,7871,9.0,1.0,09-04-2010,1545419.0,0.0,66.0,3.0,211.0,8.0
10,1000005,P00251242,M,30,20,A,1,1,5,5254,10.0,1.0,16-04-2010,1466058.0,0.0,66.0,3.0,210.0,8.0
11,1000005,P00014542,M,30,20,A,1,1,8,3957,11.0,1.0,23-04-2010,1391256.0,0.0,65.0,3.0,210.0,8.0
12,1000005,P00031342,M,30,20,A,1,1,8,6073,12.0,1.0,30-04-2010,1425101.0,0.0,67.0,3.0,210.0,8.0
13,1000005,P00145042,M,30,20,A,1,1,1,15665,13.0,1.0,07-05-2010,1603955.0,0.0,73.0,3.0,210.0,8.0
14,1000006,P00231342,F,53,9,A,1,0,5,5378,14.0,1.0,14-05-2010,1494252.0,0.0,75.0,3.0,210.0,8.0
15,1000006,P00190242,F,53,9,A,1,0,4,2079,15.0,1.0,21-05-2010,1399662.0,0.0,76.0,3.0,211.0,8.0
16,1000006,P0096642,F,53,9,A,1,0,2,13055,16.0,1.0,28-05-2010,1432070.0,0.0,80.0,3.0,211.0,8.0
17,1000006,P00058442,F,53,9,A,1,0,5,8851,17.0,1.0,04-06-2010,1615525.0,0.0,81.0,3.0,211.0,8.0
18,1000007,P00036842,M,40,1,B,1,1,1,11788,18.0,1.0,11-06-2010,1542561.0,0.0,80.0,3.0,211.0,8.0
19,1000008,P00249542,M,30,12,C,4,1,1,19614,19.0,1.0,18-06-2010,1503284.0,0.0,84.0,3.0,211.0,8.0
20,1000008,P00220442,M,30,12,C,4,1,5,8584,20.0,1.0,25-06-2010,1422712.0,0.0,84.0,3.0,211.0,8.0
21,1000008,P00156442,M,30,12,C,4,1,8,9872,21.0,1.0,02-07-2010,1492418.0,0.0,81.0,3.0,211.0,8.0
22,1000008,P00213742,M,30,12,C,4,1,8,9743,22.0,1.0,09-07-2010,1546074.0,0.0,80.0,3.0,211.0,8.0
23,1000008,P00214442,M,30,12,C,4,1,8,5982,23.0,1.0,16-07-2010,1448939.0,0.0,83.0,3.0,211.0,8.0
24,1000008,P00303442,M,30,12,C,4,1,1,11927,24.0,1.0,23-07-2010,1385065.0,0.0,83.0,3.0,211.0,8.0
25,1000009,P00135742,M,30,17,C,0,0,6,16662,25.0,1.0,30-07-2010,1371987.0,0.0,82.0,3.0,211.0,8.0
26,1000009,P00039942,M,30,17,C,0,0,8,5887,26.0,1.0,06-08-2010,1605492.0,0.0,87.0,3.0,212.0,8.0
27,1000009,P00161442,M,30,17,C,0,0,5,6973,27.0,1.0,13-08-2010,1508238.0,0.0,87.0,3.0,212.0,8.0
28,1000009,P00078742,M,30,17,C,0,0,5,5391,28.0,1.0,20-08-2010,1513080.0,0.0,87.0,3.0,212.0,8.0
29,1000010,P00085942,F,40,1,B,4,1,2,16352,29.0,1.0,27-08-2010,1449143.0,0.0,85.0,3.0,212.0,8.0
30,1000010,P00118742,F,40,1,B,4,1,5,8886,30.0,1.0,03-09-2010,1540164.0,0.0,81.0,3.0,212.0,8.0
31,1000010,P00297942,F,40,1,B,4,1,8,5875,31.0,1.0,10-09-2010,1507461.0,1.0,79.0,3.0,211.0,8.0
32,1000010,P00266842,F,40,1,B,4,1,5,8854,32.0,1.0,17-09-2010,1430379.0,0.0,82.0,3.0,212.0,8.0
33,1000010,P00058342,F,40,1,B,4,1,3,10946,33.0,1.0,24-09-2010,1351791.0,0.0,81.0,3.0,212.0,8.0
34,1000010,P00032442,F,40,1,B,4,1,5,5152,34.0,1.0,01-10-2010,1453330.0,0.0,72.0,3.0,212.0,8.0
35,1000010,P00105942,F,40,1,B,4,1,5,7089,35.0,1.0,08-10-2010,1508240.0,0.0,64.0,3.0,212.0,8.0
36,1000010,P00182642,F,40,1,B,4,1,2,12909,36.0,1.0,15-10-2010,1459409.0,0.0,67.0,3.0,212.0,8.0
37,1000010,P00186942,F,40,1,B,4,1,5,8770,37.0,1.0,22-10-2010,1345454.0,0.0,70.0,3.0,212.0,8.0
38,1000010,P00155442,F,40,1,B,4,1,1,15212,38.0,1.0,29-10-2010,1384209.0,0.0,70.0,3.0,212.0,8.0
39,1000010,P00221342,F,40,1,B,4,1,1,15705,39.0,1.0,05-11-2010,1551659.0,0.0,59.0,3.0,212.0,8.0
40,1000010,P00087242,F,40,1,B,4,1,14,7947,40.0,1.0,12-11-2010,1494479.0,0.0,60.0,3.0,212.0,8.0
41,1000010,P00111142,F,40,1,B,4,1,1,18963,41.0,1.0,19-11-2010,1483784.0,0.0,51.0,3.0,212.0,8.0
42,1000010,P00259342,F,40,1,B,4,1,5,8718,42.0,1.0,26-11-2010,1955624.0,1.0,65.0,3.0,212.0,8.0
43,1000010,P0094542,F,40,1,B,4,1,2,16406,43.0,1.0,03-12-2010,1548034.0,0.0,49.0,3.0,212.0,8.0
44,1000010,P00148642,F,40,1,B,4,1,6,12642,44.0,1.0,10-12-2010,1682614.0,0.0,46.0,3.0,211.0,8.0
45,1000010,P00312142,F,40,1,B,4,1,8,10007,45.0,1.0,17-12-2010,1891035.0,0.0,50.0,3.0,211.0,8.0
46,1000010,P00113242,F,40,1,B,4,1,1,11562,46.0,1.0,24-12-2010,2387950.0,0.0,52.0,3.0,211.0,8.0
47,1000011,P00192642,F,30,1,C,1,0,8,6171,47.0,1.0,31-12-2010,1367320.0,1.0,48.0,3.0,211.0,8.0
48,1000011,P00110842,F,30,1,C,1,0,1,19327,48.0,1.0,07-01-2011,1444732.0,0.0,48.0,3.0,211.0,8.0
49,1000011,P00189642,F,30,1,C,1,0,8,8027,49.0,1.0,14-01-2011,1391014.0,0.0,35.0,3.0,211.0,8.0
50,1000012,P00304242,M,30,12,C,2,0,1,15246,50.0,1.0,21-01-2011,1327405.0,0.0,44.0,3.0,212.0,8.0
51,1000012,P00365242,M,30,12,C,2,0,5,6865,51.0,1.0,28-01-2011,1316899.0,0.0,44.0,3.0,212.0,8.0
52,1000013,P00129542,M,48,1,C,3,1,8,5839,52.0,1.0,04-02-2011,1606630.0,0.0,42.0,3.0,213.0,8.0
53,1000013,P00140742,M,48,1,C,3,1,1,15912,53.0,1.0,11-02-2011,1649615.0,1.0,36.0,3.0,213.0,8.0
54,1000013,P00182342,M,48,1,C,3,1,1,12107,54.0,1.0,18-02-2011,1686843.0,0.0,57.0,3.0,213.0,8.0
55,1000014,P00276642,M,40,0,C,0,0,8,5848,55.0,1.0,25-02-2011,1456800.0,0.0,63.0,3.0,214.0,8.0
